Song Title,Artist,Album Title,Popularity,Genres,Artist Link,Track ID
ALICE.,jev.,when angels cry,67,jazz rap,https://open.spotify.com/artist/6OmxkansdRyVTvo6BpZzKF,2dVmZ5FPuBsZY8XwK7CRSc
LA CANCIÓN,J Balvin,OASIS,89,"reggaeton, latin",https://open.spotify.com/artist/1vyhD5VmyZ7KMfW5gqLgo5,0fea68AdmYNygeTGI4RC18
BAILE INoLVIDABLE,Bad Bunny,DeBÍ TiRAR MáS FOToS,96,"reggaeton, trap latino, urbano latino, latin",https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,2lTm559tuIvatlT1u0JYG2
Aquí Abajo,Christian Nodal,Aquí Abajo,63,"banda, ranchera, mariachi, norteño, música mexicana, grupera",https://open.spotify.com/artist/0XwVARXT135rw8lyw1EeWP,4FmVjrmM6DsBQMsGdc9PDa
Rey Sin Reina,Julión Álvarez y su Norteño Banda,Atento Aviso ... Rey Sin Reina,81,"banda, norteño, grupera, corrido",https://open.spotify.com/artist/1bfl0AU8SqmLkElptOprhC,0BiDnJFB3TlRB6aji7jUz3
Tu Boda,Oscar Maydon,Tu Boda,89,"corridos tumbados, corrido, corridos bélicos, electro corridos, sad sierreño, banda",https://open.spotify.com/artist/3l9G1G9MxH6DaRhwLklaf5,1cOboCuWYI2osTOfolMRS6
Miss You - Remastered,The Rolling Stones,Some Girls,77,"classic rock, rock",https://open.spotify.com/artist/22bE4uQ6baNwSHPVcDxLCe,3hJLKtTpgct9Y9wKww0BiR
Beast Of Burden - Remastered 1994,The Rolling Stones,Some Girls,79,"classic rock, rock",https://open.spotify.com/artist/22bE4uQ6baNwSHPVcDxLCe,77oU2rjC5XbjQfNe3bD6so
Gimme Shelter,The Rolling Stones,Let It Bleed,79,"classic rock, rock",https://open.spotify.com/artist/22bE4uQ6baNwSHPVcDxLCe,6H3kDe7CGoWYBabAeVWGiD
Una Notte a Napoli,Pink Martini,Hang on Little Tomato,49,"french jazz, lounge",https://open.spotify.com/artist/6KyUat70qaniuiZq63HzFZ,492eazXZUX6HQsmpmEGp0I
Goddess - Live at the Hollywood Bowl,Laufey,A Night At The Symphony: Live at the Hollywood Bowl,51,Unknown,https://open.spotify.com/artist/7gW0r5CkdEUMm42w9XpyZO,1Yfj3JJIthJK1w7lRXBOhG
Valentine - Live at the Hollywood Bowl,Laufey,A Night At The Symphony: Live at the Hollywood Bowl,48,Unknown,https://open.spotify.com/artist/7gW0r5CkdEUMm42w9XpyZO,7dOoAPZoB5REwyEPyMUtU6
Atlantis,Wunderhorse,Cub,55,Unknown,https://open.spotify.com/artist/41pd7r1XBRsvdxY3vHEgib,610BCrpGo86lwdQYM7Uk90
Good People,Jack Johnson,In Between Dreams,66,surf rock,https://open.spotify.com/artist/3GBPw9NK25X1Wt2OUvOwY3,4eLn7z31zqzEdlKSgesohf
Summers Over Interlude,Drake,Views,74,rap,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,3ppVO2tyWRRznNmONvt7Se
SKELETONS,Travis Scott,ASTROWORLD,80,rap,https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY,6NMtzpDQBTOfJwMzgMX0zl
ayy weyy,Fuerza Regida,111XPANTIA (Deluxe),68,"corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño",https://open.spotify.com/artist/0ys2OFYzWYB5hRDLCsBqxt,3ePo8Ewhgo4gzUCUMIm2pe
At Last,Etta James,At Last!,78,"soul, jazz blues, soul blues, blues, vocal jazz",https://open.spotify.com/artist/0iOVhN3tnSvgDbcg25JoJb,4Hhv2vrOTy89HFRcjU3QOx
Only You (And You Alone),The Platters,The Magic Touch: An Anthology,57,doo-wop,https://open.spotify.com/artist/6KWcxMWVNVIYbdOQyJtsSy,0S5cs4lAkx99tGjoWS4Jtk
Otherside,Red Hot Chili Peppers,Californication (Deluxe Edition),84,"funk rock, alternative rock, rock",https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,64BbK9SFKH2jk86U3dGj2P
Mi Vida Eres Tú,Virlan Garcia,Mi Vida Eres Tú,67,"banda, sierreño, corrido, norteño, sad sierreño, corridos bélicos",https://open.spotify.com/artist/0vjeBgTzYTwmYoVySJzXGD,4n6mdlVEFWIjOOa0FmwWAt
Recuerda,Marca MP,Flores,69,"corrido, corridos tumbados, banda, sierreño, sad sierreño, corridos bélicos, música mexicana",https://open.spotify.com/artist/44mEtidu0VdRkIqO4IbkNa,2BaBwcllqDMkoD9184xOxP
caperuza,Fuerza Regida,111XPANTIA (Deluxe),68,"corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño",https://open.spotify.com/artist/0ys2OFYzWYB5hRDLCsBqxt,4eQvAuTr0REyVCfqLJNOmo
chufulas,Fuerza Regida,111XPANTIA (Deluxe),67,"corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño",https://open.spotify.com/artist/0ys2OFYzWYB5hRDLCsBqxt,33ey2UZorVH9IFxpCQz06W
Marlboro Rojo,Fuerza Regida,111XPANTIA (Deluxe),74,"corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño",https://open.spotify.com/artist/0ys2OFYzWYB5hRDLCsBqxt,1QGTF0TnV5VprnHCaxc5MN
TU SANCHO,Fuerza Regida,111XPANTIA (Deluxe),72,"corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño",https://open.spotify.com/artist/0ys2OFYzWYB5hRDLCsBqxt,1PPnOTtaxRaY3LWao2HPRU
ANSIEDAD,Fuerza Regida,111XPANTIA (Deluxe),70,"corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño",https://open.spotify.com/artist/0ys2OFYzWYB5hRDLCsBqxt,0xrBDKCEdQSkMVHIIw7ZBs
Por Esos Ojos,Fuerza Regida,111XPANTIA (Deluxe),66,"corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño",https://open.spotify.com/artist/0ys2OFYzWYB5hRDLCsBqxt,4lQLklATKxtm2jShZy0xxD
CHAVALITAS,Fuerza Regida,111XPANTIA (Deluxe),67,"corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño",https://open.spotify.com/artist/0ys2OFYzWYB5hRDLCsBqxt,2xuwDjF3jBXTp8eQsotIag
peliculiando,Fuerza Regida,111XPANTIA (Deluxe),70,"corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño",https://open.spotify.com/artist/0ys2OFYzWYB5hRDLCsBqxt,78MelZ19hWb0jHBlDVBIVh
Nocturno,Fuerza Regida,111XPANTIA (Deluxe),68,"corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño",https://open.spotify.com/artist/0ys2OFYzWYB5hRDLCsBqxt,11YMqONxL8bGhlgReIl5aW
Shallow,Lady Gaga,A Star Is Born Soundtrack,87,"art pop, pop",https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms,2VxeLyX666F8uXCJ0dZF8B
Luna - 2011 Remaster,The Smashing Pumpkins,Siamese Dream (Deluxe Edition),71,"alternative rock, rock",https://open.spotify.com/artist/40Yq4vzPs9VNUrIBG5Jr2i,5Q6Xzp25aXYxNJ4B6vBkcf
In-Between,Title Fight,Floral Green,63,"midwest emo, shoegaze, post-hardcore, melodic hardcore, pop punk, emo",https://open.spotify.com/artist/2CnhqfjUG0qzsru0SMuhrk,1FmF8pmIiLEGNNWFdlkhW3
Fake Nice (feat. Kevin Kaarl),Beach Weather,Fake Nice (feat. Kevin Kaarl),60,Unknown,https://open.spotify.com/artist/7I3bkknknQkIiatWiupQgD,5KcdtJsVc2X36iBOV8S3Zt
Collard Greens,ScHoolboy Q,Oxymoron (Deluxe),79,Unknown,https://open.spotify.com/artist/5IcR3N7QB1j6KBL8eImZ8m,0zO8ctW0UiuOefR87OeJOZ
Oye Mi Amor,Maná,¿Dónde Jugarán Los Niños?,82,"rock en español, latin rock, mexican rock, latin pop",https://open.spotify.com/artist/7okwEbXzyT2VffBmyQBWLz,5EJ2THuhAapEIeQOtXUQ0x
Killing In The Name,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),83,"rap metal, rap rock, alternative metal, nu metal",https://open.spotify.com/artist/2d0hyoQ5ynDBnkvAbJKORj,59WN2psjkt1tyaxjspN8fp
Bulls On Parade,Rage Against The Machine,Evil Empire,77,"rap metal, rap rock, alternative metal, nu metal",https://open.spotify.com/artist/2d0hyoQ5ynDBnkvAbJKORj,0tZ3mElWcr74OOhKEiNz1x
Everything's Not Lost - Includes Hidden Track 'Life Is For Living',Coldplay,Parachutes,58,Unknown,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,1RNtm45kw0hPMBz7gKiIYu
We Never Change,Coldplay,Parachutes,63,Unknown,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,5TB6QgrF0RPIxSCGfRDLoe
High Speed,Coldplay,Parachutes,63,Unknown,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,2DHgvPQD1jApRnT1DBZdrS
Trouble,Coldplay,Parachutes,76,Unknown,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,0R8P9KfGJCDULmlEoBagcO
Parachutes,Coldplay,Parachutes,59,Unknown,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,4qzoHxgp42ylb18ga1SWTL
Shiver,Coldplay,Parachutes,69,Unknown,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,0qksx8mV28lztYIZ1om8ml
Spies,Coldplay,Parachutes,60,Unknown,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,2mLgOcRkEgq89j8WstUpui
Don't Panic,Coldplay,Parachutes,73,Unknown,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,2QhURnm7mQDxBb5jWkbDug
deep in it,berlioz,deep in it,72,"jazz house, jazz",https://open.spotify.com/artist/3k3RY7kR8f0vp8Cq27P141,6IoDmKMOqGMYwny9MjQ6dg
Pandora,Wisp,Pandora,64,shoegaze,https://open.spotify.com/artist/3TJZG17pjOKXwx1ELKJPfm,3SBhQh5X7tO8ejCMUdjSRu
war,We Are Not Friends,We Are Not Friends,48,shoegaze,https://open.spotify.com/artist/2nR28y0ZVWt8oBxXi79szg,1MxdBJ69LuEx5cI4w2K7JS
I'd stay forever,whither,I'd stay forever,56,shoegaze,https://open.spotify.com/artist/1j5n8v8YxdS8FrMjauRn8j,2ClFwxCrSbg472DuKbCpej
It's Been Awhile,Staind,Break the Cycle,78,"post-grunge, nu metal, alternative metal",https://open.spotify.com/artist/5KDIH2gF0VpelTqyQS7udb,25CMmGsl22APKhfuj4Tp7j
Words I Used,The Backseat Lovers,Waiting to Spill,54,Unknown,https://open.spotify.com/artist/6p2HnfM955TI1bX34dkLnI,34nYWTBYOKfTFYKIhVrqdT
Prophecy,Domo Genesis,No Idols,53,Unknown,https://open.spotify.com/artist/6vHBuUxrcpn1do5UaEJ7g6,0tmYVU4k7y7ru6CkckFQp3
Música Romántica,Jorge Luis Cabrera con Banda Tierra Blanca,Música Romántica,61,"banda, grupera",https://open.spotify.com/artist/3z5x6g8Vdhann3CHdeLZLr,6ikzzpUSP2DAb10ThgzRIa
Dugout,The Backseat Lovers,When We Were Friends,58,Unknown,https://open.spotify.com/artist/6p2HnfM955TI1bX34dkLnI,2Wbssw1v5pKtnBaQ1doY1Z
Dugout (Live),The Backseat Lovers,Live from the Troubadour,32,Unknown,https://open.spotify.com/artist/6p2HnfM955TI1bX34dkLnI,7Lmj753zoxuLacwTzi0KDa
Growing/Dying,The Backseat Lovers,Waiting to Spill,61,Unknown,https://open.spotify.com/artist/6p2HnfM955TI1bX34dkLnI,5zMxLq47V3Gr0LlFvxiFXS
Just a Boy,The Backseat Lovers,Just a Boy,63,Unknown,https://open.spotify.com/artist/6p2HnfM955TI1bX34dkLnI,1jRUUth3iAmmlSFA174YxZ
Welcome to the Black Parade,My Chemical Romance,The Black Parade,80,"emo, pop punk, emo pop",https://open.spotify.com/artist/7FBcuc1gsnv6Y1nwFtNRCb,5wQnmLuC1W7ATsArWACrgW
Palabra de Hombre,El Fantasma,Guárdame Esta Noche,73,"corrido, banda, norteño, corridos bélicos, sierreño, música mexicana",https://open.spotify.com/artist/0my6Pg4I28dVcZLSpAkqhv,4CLkDJ4xLqkV4Vt2vPOny1
Borracho de Amor,Edwin Luna y La Trakalosa de Monterrey,Reto de Éxitos Remex,70,"banda, norteño",https://open.spotify.com/artist/4LFOoXhMhnq9U8VsZkSwxl,25Ejjmf1GqZRjAIXYgML9R
Por Primera Vez,Camilo,Por Primera Vez,72,"colombian pop, pop urbano",https://open.spotify.com/artist/28gNT5KBp7IjEOQoevXf9N,0pgj4EzB1XRqgZemoMNG5D
I Lied to You,Miles Caton,Sinners (Original Motion Picture Soundtrack),74,Unknown,https://open.spotify.com/artist/0EEwD5PTnNLxUfAS22mErL,0XfwXFXOI7oys9rsZ2sjrt
If By Chance,Ruth B.,Safe Haven,64,Unknown,https://open.spotify.com/artist/2WzaAvm2bBCf4pEhyuDgCY,21dpBHPTV7ythCHBI6Slcw
Un Alma En Pena,Mon Laferte,Mon Laferte (Vol. 1),48,latin alternative,https://open.spotify.com/artist/4boI7bJtmB1L3b1cuL75Zr,6LUsEtfv5RsUmJdhY2VNsS
